dates,PCE,PCEcore,CPI,GDPD,PCEtrim,CPItrim,CPImedian,CPIsticky,CPIcoresticky,SPFcpi10Y,SPFcpi1Y,SPFpce1Y,SPFgdpd1Y
732647,0,1.23689174704644,0,3.22342911487006,2.41070753432331,1.41037085318914,2.18093692968535,2.40226186879925,2.43904547501669,NaN,NaN,NaN,NaN
732678,5.79915139807596,2.69791226866083,7.24712821709232,NaN,2.3618865598634,3.62930620327415,2.84350824275707,2.82898672553063,2.42146359387051,NaN,NaN,NaN,NaN
732709,0.719534360654706,1.92911010007997,0.601956370786638,NaN,2.31304173888545,1.46190910994833,2.05084651312472,3.19167573692032,2.46853481737418,2.5,2.40042511424587,2.40042511424587,2.16740170483618
732737,2.31857929253714,3.3017548859867,1.80405947283795,2.80775532192159,2.35211950413459,2.21555344097941,3.03563725793943,3.00609559946197,2.54846793104955,NaN,NaN,NaN,NaN
732768,5.55447054763327,3.66538663214833,5.99401845662726,NaN,2.44974716003874,2.94478391129181,2.8461419915545,3.55907684985459,2.64539152199917,NaN,NaN,NaN,NaN
732798,3.23163606030015,3.0039226160202,3.58209221214487,NaN,2.57652078860264,3.23922426924779,4.1987657443181,4.09326687478255,2.74591188658736,2.5,2.35845060168361,2.35845060168361,2.23544491478087
732829,2.95470719738802,3.02290539818557,2.97693032851534,3.53109558922426,2.74205955759922,2.90049185877266,3.14970278622071,3.75490714782565,2.98930162887199,NaN,NaN,NaN,NaN
732859,4.09766947291104,1.17793044448824,6.5233666947119,NaN,2.76151670329734,3.13510094899236,3.00822625341689,3.42332038567059,3.04709957752265,NaN,NaN,NaN,NaN
732890,3.76393430294968,2.43161177427851,5.31104874822681,NaN,2.81986543586787,3.38043420817425,4.51776506716745,2.93956462487026,3.17419940421067,2.5,2.59434330613372,2.59434330613372,2.36362616531869
732921,-3.13579148635554,1.89956947589955,-5.90261888591535,2.78141829797711,2.74205955759922,2.16404754268182,2.08438866967809,2.73972208635347,3.16150556347953,NaN,NaN,NaN,NaN
732951,-2.84932495876404,2.1597424674983,-5.3372956778837,NaN,2.66419309464211,1.59733642718685,3.5856377810938,3.25849192222196,3.23812677628338,NaN,NaN,NaN,NaN
732982,0.415111397943591,0.578782375897191,0.594206498895744,NaN,2.53753063312283,1.14785085425785,2.97985712375675,1.75320265957672,3.09971983216825,2.5,2.58429779579337,2.58429779579337,2.24442847340107
733012,4.26330921371019,1.60334711561489,6.51692542216082,1.49343492407041,2.6349775322782,2.58202028543383,2.68906492228267,2.25931977878561,3.07634966940509,NaN,NaN,NaN,NaN
733043,3.99560852619629,4.86263096364041,1.98948726747901,NaN,2.67392971896215,3.05131739288765,2.92132111062621,3.26466711532235,3.09726973662109,NaN,NaN,NaN,NaN
733074,3.71726945408355,2.58710901601304,4.64501896024743,NaN,2.78097006392672,3.93912748650586,4.35098252090169,3.39819190985546,3.11260976640123,2.35,2.42657929341788,2.42657929341788,2.10881335632642
733102,4.3927498195675,1.21323479794384,6.22397699183956,3.81609624994006,2.73232956488904,2.95675425228947,2.65302511159385,2.4130521975571,3.0616508692225,NaN,NaN,NaN,NaN
733133,2.80979599065034,1.70688701109576,3.59540337839839,NaN,2.62523711440657,2.34850041291631,2.34071561926898,2.24609662535528,2.92354761909021,NaN,NaN,NaN,NaN
733163,3.48659606180064,1.41838604634046,4.94937198830847,NaN,2.47901688072187,2.3928128437743,2.32622382681826,2.02976239197332,2.74529359753943,2.4,2.4049679119735,2.4049679119735,2.26635436524587
733194,2.53293399159986,1.97513796919289,2.7768866153508,2.66534530774756,2.38141780992549,2.5616638049274,3.2157672123379,2.25630146311913,2.59657442532419,NaN,NaN,NaN,NaN
733224,1.83402144824321,1.80337030593734,2.1348149600172,NaN,2.32281261192072,2.36766258772114,2.78891663119546,2.71110714985018,2.50305174453146,NaN,NaN,NaN,NaN
733255,0.81131481886203,1.78771947736927,0.369879840141962,NaN,2.27394869694893,1.65725515525798,2.16105293562118,2.46942140533975,2.43856406012424,2.4,2.20403454444842,2.20403454444842,2.24198754036342
733286,4.62186816747447,3.27058455668343,5.0743202945263,2.07135845266002,2.35211950413459,3.38641736043034,3.63744163650587,3.27221851950941,2.45353543722876,NaN,NaN,NaN,NaN
733316,3.6301564644436,3.12006622185272,3.6941932813189,NaN,2.43022925229648,3.58503940976377,3.37696380108064,3.38772155629517,2.47250491374717,NaN,NaN,NaN,NaN
